categoria_inicial,Asociado,Desaparece,Emérito,Junior,Senior
Asociado,0.4987482614742698,0.1404728789986092,0.0036161335187760778,0.1552155771905424,0.2019471488178025
Emérito,0.0,1.0,0.0,0.0,0.0
Junior,0.16937293729372938,0.30363036303630364,0.00039603960396039607,0.5012541254125412,0.025346534653465348
Senior,0.053309900410076154,0.04569420035149385,0.01698886936145284,0.04745166959578207,0.836555360281195
