NME_REGION_GR,NME_TIPOLOGIA_PD,produccion_region_tipologia,produccion_total,produccion_tipologia_nacional,participacion_tipologia_region,participacion_tipologia_nacional,indice_especializacion
Pacífico,Procesos de apropiación social del conocimiento para la generación de insumos,26,136445,138,0.00019055297006119682,0.00011060501746036454,1.7228
Pacífico,Generación de contenido impresa,263,136445,1591,0.0019275165817728755,0.0012751636433292752,1.5116
Pacífico,Estrategia de comunicación del conocimiento,266,136445,1642,0.0019495034629337829,0.0013160394106515837,1.4813
Pacífico,Participación ciudadana en proyectos de CTI,132,136445,837,0.0009674227710799224,0.000670843475466124,1.4421
Pacífico,Libros de investigación,3776,136445,24592,0.027674154421195352,0.01971013470569047,1.4041
Pacífico,"Eventos artísticos, de arquitectura o de diseño con componentes de apropiación",256,136445,1707,0.0018762138590640918,0.0013681359768466831,1.3714
Pacífico,Espacios de participación ciudadana,302,136445,2108,0.0022133460368646708,0.0016895317159887568,1.31
Pacífico,Conceptos técnicos,479,136445,3553,0.003510572025358203,0.0028476784567875012,1.2328
Pacífico,Edicion,2018,136445,15577,0.014789842060903662,0.012484741717247089,1.1846
Pacífico,Red de conocimiento especializado,1002,136445,7742,0.007343618307743047,0.006205101776653205,1.1835
Pacífico,Tesis de doctorado,1094,136445,8479,0.008017882663344205,0.006795796688742252,1.1798
Pacífico,Proyecto de Investigación y Creación,151,136445,1196,0.0011066730184323354,0.000958576817989826,1.1545
Pacífico,Regulación y norma protocolos de vigilancia epidemiológica,13,136445,105,9.527648503059841e-05,8.415599154592953e-05,1.1321
Pacífico,Producción de estrategias y contenidos Transmedia,72,136445,587,0.0005276851478617758,0.00047047206702343464,1.1216
Pacífico,Proyecto de Investigacion y Desarrollo,8880,136445,73061,0.06508116823628568,0.058557341888925314,1.1114
Pacífico,Patente de invención,209,136445,1759,0.0015317527208765437,0.0014098132298027623,1.0865
Pacífico,Evento científico,24382,136445,205479,0.17869471215508081,0.16468846654158148,1.085
