categoria_inicial,Asociado,Emérito,Junior,Senior
Asociado,0.5641891891891891,0.004158004158004158,0.2494802494802495,0.18217255717255718
Junior,0.17891194615816042,0.000981491867638811,0.7793045429052159,0.040802019068984854
Senior,0.13221052631578947,0.018947368421052633,0.03705263157894737,0.8117894736842105
